Sort,time_10000, comp_10000, time_30000, comp_30000, time_50000, comp_50000, time_100000, comp_100000, time_300000, comp_300000, time_500000, comp_500000, 
bubble-sort, 131.596000, 20001, 948.172000, 60001, 2411.657000, 100001, 10355.611000, 200001, 83681.134000, 600001, 278119.890000, 1000001, 
counting-sort, 0.103000, 60003, 0.323000, 180003, 0.575000, 300003, 1.015000, 600003, 3.046000, 1800003, 5.698000, 3000003, 
flash-sort, 0.348000, 103496, 1.096000, 310496, 1.737000, 517496, 3.669000, 1034996, 13.666000, 3104996, 19.500000, 5174996, 
heap-sort, 1.490000, 518705, 5.170000, 1739633, 7.974000, 3056481, 18.552000, 6519813, 61.203000, 21431637, 102.556000, 37116275, 
insertion-sort, 0.214000, 19999, 0.598000, 59999, 0.973000, 99999, 2.281000, 199999, 7.138000, 599999, 8.571000, 999999, 
merge-sort, 1.126000, 406234, 3.638000, 1332186, 5.903000, 2320874, 12.908000, 4891754, 41.880000, 15848682, 73.740000, 27234634, 
quick-sort, 0.417000, 193611, 1.293000, 627227, 2.350000, 1084459, 4.693000, 2268923, 15.039000, 7275707, 25.558000, 12475707, 
radix-sort, 0.993000, 170106, 3.710000, 630132, 6.496000, 1050132, 14.206000, 2100132, 46.806000, 7500158, 75.246000, 12500158, 
selection-sort, 110.647000, 50005001, 948.147000, 450015001, 2468.645000, 1250025001, 10435.264000, 5000050001, 96071.482000, 45000150001, 265743.179000, 125000250001, 
shaker-sort, 0.358000, 20001, 1.308000, 60001, 1.994000, 100001, 5.047000, 200001, 16.547000, 600001, 16.789000, 1000001, 
shell-sort, 0.683000, 240024, 2.188000, 780029, 4.122000, 1400028, 9.789000, 3000029, 30.324000, 10200035, 40.236000, 17000033, 
