Sort,time_10000, comp_10000, time_30000, comp_30000, time_50000, comp_50000, time_100000, comp_100000, time_300000, comp_300000, time_500000, comp_500000, 
bubble-sort, 282.448000, 20001, 2801.897000, 60001, 7992.329000, 100001, 32662.931000, 200001, 296580.981000, 600001, 827742.974000, 1000001, 
counting-sort, 0.167000, 60003, 0.553000, 180003, 0.887000, 300003, 1.772000, 600003, 5.538000, 1800003, 10.616000, 3000001, 
flash-sort, 0.368000, 97757, 1.309000, 293585, 2.098000, 488970, 4.914000, 978560, 16.838000, 2934176, 30.291000, 4891792, 
heap-sort, 1.781000, 517876, 6.189000, 1740727, 10.820000, 3059535, 23.605000, 6521353, 80.020000, 21446725, 139.836000, 37150837, 
insertion-sort, 59.758000, 19999, 536.812000, 59999, 1493.377000, 99999, 5907.828000, 199999, 53191.662000, 599999, 147705.147000, 999999, 
merge-sort, 1.679000, 410179, 5.691000, 1344364, 9.602000, 2339957, 19.836000, 4929719, 64.529000, 15969070, 110.944000, 27441400, 
quick-sort, 1.367000, 192486, 4.610000, 625210, 7.827000, 1079316, 16.741000, 2258194, 51.184000, 7250517, 89.588000, 12449458, 
radix-sort, 0.926000, 170106, 3.512000, 630132, 5.882000, 1050132, 11.491000, 2100132, 39.307000, 7500158, 66.199000, 12500158, 
selection-sort, 102.958000, 50005001, 983.108000, 450015001, 2727.635000, 1250025001, 10867.628000, 5000050001, 97117.559000, 45000150001, 269042.514000, 125000250001, 
shaker-sort, 223.843000, 20001, 2166.579000, 60001, 6131.799000, 100001, 24656.860000, 200001, 226091.075000, 600001, 625441.996000, 1000001, 
shell-sort, 1.881000, 240024, 6.553000, 780029, 12.276000, 1400028, 26.566000, 3000029, 96.809000, 10200035, 164.988000, 17000033, 
