Sort,time_10000, comp_10000, time_30000, comp_30000, time_50000, comp_50000, time_100000, comp_100000, time_300000, comp_300000, time_500000, comp_500000, 
bubble-sort, 291.506000, 20001, 2512.717000, 60001, 6855.231000, 100001, 27357.610000, 200001, 245985.061000, 600001, 684646.929000, 1000001, 
counting-sort, 0.093000, 60003, 0.319000, 180003, 0.504000, 300003, 1.048000, 600003, 3.007000, 1800003, 4.973000, 3000003, 
flash-sort, 0.356000, 103496, 1.103000, 310496, 1.729000, 517496, 3.478000, 1034996, 10.207000, 3104996, 16.906000, 5174996, 
heap-sort, 1.450000, 518705, 4.911000, 1739633, 7.914000, 3056481, 16.600000, 6519813, 54.918000, 21431637, 96.131000, 37116275, 
insertion-sort, 120.408000, 19999, 1071.583000, 59999, 2966.761000, 99999, 11809.186000, 199999, 105863.523000, 599999, 293179.056000, 999999, 
merge-sort, 1.049000, 406234, 3.277000, 1332186, 5.455000, 2320874, 11.588000, 4891754, 37.241000, 15848682, 64.526000, 27234634, 
quick-sort, 0.455000, 193611, 1.352000, 627227, 2.278000, 1084459, 4.696000, 2268923, 14.650000, 7275707, 24.755000, 12475707, 
radix-sort, 0.985000, 170106, 3.488000, 630132, 5.648000, 1050132, 11.349000, 2100132, 39.350000, 7500158, 65.869000, 12500158, 
selection-sort, 102.862000, 50005001, 948.799000, 450015001, 2638.871000, 1250025001, 10513.880000, 5000050001, 94410.188000, 45000150001, 262680.151000, 125000250001, 
shaker-sort, 300.927000, 20001, 2682.235000, 60001, 7414.185000, 100001, 29676.866000, 200001, 269922.443000, 600001, 813014.022000, 1000001, 
shell-sort, 0.672000, 240024, 2.286000, 780029, 4.112000, 1400028, 8.886000, 3000029, 28.836000, 10200035, 65.534000, 17000033, 
