Sort,time_10000, comp_10000, time_30000, comp_30000, time_50000, comp_50000, time_100000, comp_100000, time_300000, comp_300000, time_500000, comp_500000, 
bubble-sort, 0.029000, 20001, 0.067000, 60001, 0.114000, 100001, 0.232000, 200001, 0.744000, 600001, 1.249000, 1000001, 
counting-sort, 0.134000, 60003, 0.278000, 180003, 0.478000, 300003, 0.924000, 600003, 4.339000, 1800003, 5.823000, 3000003, 
flash-sort, 0.397000, 103496, 1.051000, 310496, 2.608000, 517496, 3.897000, 1034996, 13.300000, 3104996, 19.593000, 5174996, 
heap-sort, 1.934000, 518705, 5.831000, 1739633, 8.428000, 3056481, 18.359000, 6519813, 60.008000, 21431637, 95.891000, 37116275, 
insertion-sort, 0.052000, 19999, 0.119000, 59999, 0.177000, 99999, 0.452000, 199999, 1.167000, 599999, 1.630000, 999999, 
merge-sort, 1.400000, 406234, 3.376000, 1332186, 5.801000, 2320874, 11.917000, 4891754, 42.257000, 15848682, 67.642000, 27234634, 
quick-sort, 0.480000, 193611, 1.483000, 627227, 2.267000, 1084459, 4.648000, 2268923, 14.756000, 7275707, 25.223000, 12475707, 
radix-sort, 1.346000, 170106, 3.684000, 630132, 8.105000, 1050132, 13.427000, 2100132, 45.350000, 7500158, 73.670000, 12500158, 
selection-sort, 112.733000, 50005001, 993.920000, 450015001, 2661.613000, 1250025001, 10662.389000, 5000050001, 95809.105000, 45000150001, 272764.333000, 125000250001, 
shaker-sort, 0.027000, 20001, 0.103000, 60001, 0.127000, 100001, 0.254000, 200001, 0.758000, 600001, 1.318000, 1000001, 
shell-sort, 0.533000, 240024, 1.655000, 780029, 2.964000, 1400028, 6.845000, 3000029, 24.674000, 10200035, 39.959000, 17000033, 
